id_log,fecha,evento,nivel_severidad,servidor_id
1,2026-06-16 01:00:00,Backup programado ejecutado,INFORMATIVO,3
2,2026-06-16 01:10:00,Actualizacion de certificado completada,INFORMATIVO,4
3,2026-06-16 02:30:00,Chequeo de salud OK,INFORMATIVO,3
4,2026-06-16 04:50:00,Backup programado ejecutado,INFORMATIVO,6
5,2026-06-16 04:55:00,Chequeo de salud OK,INFORMATIVO,4
6,2026-06-16 07:10:00,Backup programado ejecutado,INFORMATIVO,3
7,2026-06-16 08:10:00,Chequeo de salud OK,INFORMATIVO,5
8,2026-06-16 08:15:00,Backup programado ejecutado,INFORMATIVO,1
9,2026-06-16 11:25:00,Backup programado ejecutado,INFORMATIVO,4
10,2026-06-16 11:40:00,Actualizacion de certificado completada,INFORMATIVO,6
11,2026-06-16 15:30:00,Backup programado ejecutado,INFORMATIVO,3
12,2026-06-16 16:15:00,Actualizacion de certificado completada,INFORMATIVO,2
13,2026-06-16 19:00:00,Backup programado ejecutado,INFORMATIVO,4
14,2026-06-16 19:20:00,Actualizacion de certificado completada,INFORMATIVO,2
15,2026-06-16 20:35:00,Chequeo de salud OK,INFORMATIVO,3
16,2026-06-16 22:40:00,Backup programado ejecutado,INFORMATIVO,1
17,2026-06-17 01:45:00,Actualizacion de certificado completada,INFORMATIVO,1
18,2026-06-17 01:45:00,Actualizacion de certificado completada,INFORMATIVO,6
19,2026-06-17 02:05:00,Backup programado ejecutado,INFORMATIVO,5
20,2026-06-17 04:50:00,Chequeo de salud OK,INFORMATIVO,3
21,2026-06-17 07:35:00,Actualizacion de certificado completada,INFORMATIVO,4
22,2026-06-17 10:40:00,Reinicio autom. servicio,INFORMATIVO,1
23,2026-06-17 11:40:00,Actualizacion de certificado completada,INFORMATIVO,6
24,2026-06-17 12:10:00,Chequeo de salud OK,INFORMATIVO,2
25,2026-06-17 13:50:00,Actualizacion de certificado completada,INFORMATIVO,3
26,2026-06-17 14:30:00,Chequeo de salud OK,INFORMATIVO,6
27,2026-06-17 16:05:00,Backup programado ejecutado,INFORMATIVO,4
28,2026-06-17 18:15:00,Reinicio autom. servicio,INFORMATIVO,2
29,2026-06-17 18:40:00,Backup programado ejecutado,INFORMATIVO,6
30,2026-06-17 20:05:00,Chequeo de salud OK,INFORMATIVO,6
31,2026-06-17 20:25:00,Reinicio autom. servicio,INFORMATIVO,2
32,2026-06-17 21:55:00,Chequeo de salud OK,INFORMATIVO,4
33,2026-06-17 22:05:00,Chequeo de salud OK,INFORMATIVO,6
34,2026-06-17 22:30:00,Reinicio autom. servicio,INFORMATIVO,5
35,2026-06-18 00:35:00,Backup programado ejecutado,INFORMATIVO,1
36,2026-06-18 00:55:00,Reinicio autom. servicio,INFORMATIVO,2
37,2026-06-18 01:00:00,Actualizacion de certificado completada,INFORMATIVO,2
38,2026-06-18 02:10:00,Chequeo de salud OK,INFORMATIVO,4
39,2026-06-18 03:30:00,Reinicio autom. servicio,INFORMATIVO,3
40,2026-06-18 05:15:00,Chequeo de salud OK,INFORMATIVO,4
41,2026-06-18 05:35:00,Reinicio autom. servicio,INFORMATIVO,6
42,2026-06-18 06:25:00,Backup programado ejecutado,INFORMATIVO,5
43,2026-06-18 08:05:00,Chequeo de salud OK,INFORMATIVO,1
44,2026-06-18 08:10:00,Chequeo de salud OK,INFORMATIVO,1
45,2026-06-18 09:10:00,Latencia red >200ms,ADVERTENCIA,4
46,2026-06-18 09:25:00,Uso elevado de CPU,ADVERTENCIA,4
47,2026-06-18 09:40:00,Uso elevado de CPU,ADVERTENCIA,4
48,2026-06-18 09:40:00,Uso elevado de CPU,ADVERTENCIA,1
49,2026-06-18 09:50:00,Servicio caido - reinicio automatico,CRITICO,1
50,2026-06-18 09:55:00,CPU ALTA DETECTADA,CRITICO,4
51,2026-06-18 10:00:00,Saturacion de memoria,CRITICO,4
52,2026-06-18 10:10:00,Uso elevado de CPU,ADVERTENCIA,1
53,2026-06-18 10:15:00,Timeout en conexion a base de datos,CRITICO,4
54,2026-06-18 10:20:00,Cola de transacciones creciendo,ADVERTENCIA,1
55,2026-06-18 10:30:00,Timeout en conexion a base de datos,CRITICO,1
56,2026-06-18 10:35:00,Saturacion de memoria,CRITICO,1
57,2026-06-18 10:40:00,Timeout en conexion a base de datos,CRITICO,4
