id_metrica,servidor_id,fecha,cpu_uso,ram_uso,disco_uso
1,1,2026-06-16 00:00:00,50.37,40.73,70.87
2,1,2026-06-16 00:05:00,47.12,45.63,72.16
3,1,2026-06-16 00:10:00,43.2,49.22,72.95
4,1,2026-06-16 00:15:00,46.87,49.96,72.64
5,1,2026-06-16 00:20:00,43.17,47.69,71.21
6,1,2026-06-16 00:25:00,50.12,46.43,71.99
7,1,2026-06-16 00:30:00,43.89,50.25,72.02
8,1,2026-06-16 00:35:00,44.9,45.53,72.7
9,1,2026-06-16 00:40:00,48.07,47.82,72.6
10,1,2026-06-16 00:45:00,55.18,45.36,71.66
11,1,2026-06-16 00:50:00,43.35,48.43,73.3
12,1,2026-06-16 00:55:00,46.15,44.06,71.35
13,1,2026-06-16 01:00:00,49.21,48.81,72.72
14,1,2026-06-16 01:05:00,43.95,47.28,72.29
15,1,2026-06-16 01:10:00,47.48,49.2,72.4
16,1,2026-06-16 01:15:00,49.32,46.79,72.46
17,1,2026-06-16 01:20:00,49.13,42.21,71.85
18,1,2026-06-16 01:25:00,44.73,44.67,71.9
19,1,2026-06-16 01:30:00,52.59,43.99,73.14
20,1,2026-06-16 01:35:00,39.88,45.58,72.34
21,1,2026-06-16 01:40:00,48.95,48.72,72.97
22,1,2026-06-16 01:45:00,45.21,45.2,73.03
23,1,2026-06-16 01:50:00,45.84,42.76,71.04
24,1,2026-06-16 01:55:00,42.93,48.07,72.32
25,1,2026-06-16 02:00:00,49.37,45.3,72.33
26,1,2026-06-16 02:05:00,49.11,45.66,72.63
27,1,2026-06-16 02:10:00,43.96,45.49,71.79
28,1,2026-06-16 02:15:00,41.83,48.04,71.7
29,1,2026-06-16 02:20:00,46.66,48.03,72.62
30,1,2026-06-16 02:25:00,49.27,46.29,71.75
31,1,2026-06-16 02:30:00,46.29,41.52,70.73
32,1,2026-06-16 02:35:00,41.32,43.59,72.57
33,1,2026-06-16 02:40:00,42.99,45.45,73.47
34,1,2026-06-16 02:45:00,45.18,48.8,71.24
35,1,2026-06-16 02:50:00,45.79,43.73,71.84
36,1,2026-06-16 02:55:00,49.97,41.4,72.61
37,1,2026-06-16 03:00:00,47.56,44.8,70.73
38,1,2026-06-16 03:05:00,46.9,44.99,72.41
39,1,2026-06-16 03:10:00,46.7,51.39,71.94
40,1,2026-06-16 03:15:00,42.52,47.12,72.4
41,1,2026-06-16 03:20:00,52.05,49.09,72.53
42,1,2026-06-16 03:25:00,52.46,43.02,71.54
43,1,2026-06-16 03:30:00,42.9,45.41,70.8
44,1,2026-06-16 03:35:00,49.15,45.92,70.7
45,1,2026-06-16 03:40:00,42.55,47.52,73.01
46,1,2026-06-16 03:45:00,54.6,55.32,72.59
47,1,2026-06-16 03:50:00,42.65,40.19,72.44
48,1,2026-06-16 03:55:00,43.36,45.34,71.56
49,1,2026-06-16 04:00:00,46.05,49.78,72.33
50,1,2026-06-16 04:05:00,45.97,43.48,70.5
51,1,2026-06-16 04:10:00,44.66,46.42,73.94
52,1,2026-06-16 04:15:00,47.13,49.53,71.68
53,1,2026-06-16 04:20:00,41.87,43.69,71.45
54,1,2026-06-16 04:25:00,55.12,44.12,73.01
55,1,2026-06-16 04:30:00,43.0,49.38,72.56
56,1,2026-06-16 04:35:00,45.98,46.46,71.52
57,1,2026-06-16 04:40:00,48.39,45.22,70.95
58,1,2026-06-16 04:45:00,41.5,47.1,73.76
59,1,2026-06-16 04:50:00,47.25,46.23,72.46
60,1,2026-06-16 04:55:00,51.83,47.24,71.77
61,1,2026-06-16 05:00:00,51.03,47.87,73.71
62,1,2026-06-16 05:05:00,47.34,42.91,70.81
63,1,2026-06-16 05:10:00,53.21,51.75,72.0
64,1,2026-06-16 05:15:00,45.08,50.97,71.07
65,1,2026-06-16 05:20:00,43.03,48.51,71.78
66,1,2026-06-16 05:25:00,46.59,46.09,72.51
67,1,2026-06-16 05:30:00,52.24,46.85,72.82
68,1,2026-06-16 05:35:00,38.41,46.44,71.33
69,1,2026-06-16 05:40:00,41.73,43.95,71.84
70,1,2026-06-16 05:45:00,50.27,42.6,72.21
71,1,2026-06-16 05:50:00,44.67,45.6,73.18
72,1,2026-06-16 05:55:00,48.76,50.6,72.02
73,1,2026-06-16 06:00:00,43.83,45.91,72.42
74,1,2026-06-16 06:05:00,47.32,43.33,72.27
75,1,2026-06-16 06:10:00,47.52,54.14,74.05
76,1,2026-06-16 06:15:00,43.2,45.72,70.71
77,1,2026-06-16 06:20:00,44.25,47.53,73.38
78,1,2026-06-16 06:25:00,43.69,44.62,70.03
79,1,2026-06-16 06:30:00,45.96,43.4,71.65
80,1,2026-06-16 06:35:00,43.1,46.3,70.42
81,1,2026-06-16 06:40:00,40.74,52.97,70.89
82,1,2026-06-16 06:45:00,42.22,52.09,75.08
83,1,2026-06-16 06:50:00,41.92,45.48,72.52
84,1,2026-06-16 06:55:00,53.52,43.62,71.93
85,1,2026-06-16 07:00:00,49.72,47.89,71.8
86,1,2026-06-16 07:05:00,46.07,42.46,71.94
87,1,2026-06-16 07:10:00,45.54,47.28,71.62
88,1,2026-06-16 07:15:00,48.5,49.62,72.33
89,1,2026-06-16 07:20:00,48.02,46.74,72.18
90,1,2026-06-16 07:25:00,43.72,47.53,72.08
91,1,2026-06-16 07:30:00,54.98,51.3,72.57
92,1,2026-06-16 07:35:00,43.56,43.25,73.37
93,1,2026-06-16 07:40:00,47.66,48.02,70.44
94,1,2026-06-16 07:45:00,50.32,47.95,71.07
95,1,2026-06-16 07:50:00,44.72,47.37,72.23
96,1,2026-06-16 07:55:00,45.44,46.27,71.93
97,1,2026-06-16 08:00:00,47.22,51.0,69.61
98,1,2026-06-16 08:05:00,45.66,47.11,72.48
99,1,2026-06-16 08:10:00,45.12,41.31,72.51
100,1,2026-06-16 08:15:00,53.52,41.98,73.04
101,1,2026-06-16 08:20:00,45.3,46.4,71.13
102,1,2026-06-16 08:25:00,45.27,50.48,72.76
103,1,2026-06-16 08:30:00,53.54,50.12,72.62
104,1,2026-06-16 08:35:00,53.59,47.9,73.01
105,1,2026-06-16 08:40:00,45.42,46.78,71.48
106,1,2026-06-16 08:45:00,50.57,43.05,72.96
107,1,2026-06-16 08:50:00,45.85,50.1,72.93
108,1,2026-06-16 08:55:00,53.89,48.78,70.61
109,1,2026-06-16 09:00:00,46.34,43.07,71.66
110,1,2026-06-16 09:05:00,52.65,48.5,71.48
111,1,2026-06-16 09:10:00,42.55,46.68,70.96
112,1,2026-06-16 09:15:00,43.92,47.52,73.34
113,1,2026-06-16 09:20:00,49.04,39.71,72.49
114,1,2026-06-16 09:25:00,46.9,47.82,73.8
115,1,2026-06-16 09:30:00,38.36,44.81,72.77
116,1,2026-06-16 09:35:00,40.28,51.01,72.55
117,1,2026-06-16 09:40:00,50.0,44.87,73.0
118,1,2026-06-16 09:45:00,50.88,47.28,72.42
119,1,2026-06-16 09:50:00,47.69,43.99,72.03
120,1,2026-06-16 09:55:00,46.0,47.73,73.18
121,1,2026-06-16 10:00:00,42.38,46.21,73.66
122,1,2026-06-16 10:05:00,43.63,44.12,72.38
123,1,2026-06-16 10:10:00,49.99,46.62,73.51
124,1,2026-06-16 10:15:00,50.04,49.11,72.74
125,1,2026-06-16 10:20:00,55.92,45.97,70.18
126,1,2026-06-16 10:25:00,53.03,45.21,72.29
127,1,2026-06-16 10:30:00,51.85,41.78,70.93
128,1,2026-06-16 10:35:00,40.2,44.2,72.62
129,1,2026-06-16 10:40:00,48.71,47.41,70.77
130,1,2026-06-16 10:45:00,37.37,46.75,71.71
131,1,2026-06-16 10:50:00,48.45,48.69,72.32
132,1,2026-06-16 10:55:00,49.65,47.27,72.71
133,1,2026-06-16 11:00:00,43.79,46.04,72.38
134,1,2026-06-16 11:05:00,49.89,45.4,72.7
135,1,2026-06-16 11:10:00,45.55,46.23,73.01
136,1,2026-06-16 11:15:00,38.64,42.69,70.7
137,1,2026-06-16 11:20:00,37.27,44.55,72.93
138,1,2026-06-16 11:25:00,45.47,47.18,73.27
139,1,2026-06-16 11:30:00,51.92,46.38,73.54
140,1,2026-06-16 11:35:00,46.98,44.07,71.59
141,1,2026-06-16 11:40:00,40.69,43.92,71.83
142,1,2026-06-16 11:45:00,49.82,51.75,70.8
143,1,2026-06-16 11:50:00,48.18,43.46,72.66
144,1,2026-06-16 11:55:00,46.08,41.09,73.11
145,1,2026-06-16 12:00:00,44.19,44.98,71.11
146,1,2026-06-16 12:05:00,43.99,47.87,71.99
147,1,2026-06-16 12:10:00,47.92,47.67,73.5
148,1,2026-06-16 12:15:00,45.24,42.15,73.25
149,1,2026-06-16 12:20:00,45.28,49.93,72.57
150,1,2026-06-16 12:25:00,46.08,47.63,74.14
151,1,2026-06-16 12:30:00,54.92,46.79,72.34
152,1,2026-06-16 12:35:00,50.91,44.05,72.52
153,1,2026-06-16 12:40:00,46.51,47.52,71.35
154,1,2026-06-16 12:45:00,40.25,40.36,71.07
155,1,2026-06-16 12:50:00,44.77,45.7,74.12
156,1,2026-06-16 12:55:00,51.03,43.7,72.53
157,1,2026-06-16 13:00:00,44.98,45.73,72.37
158,1,2026-06-16 13:05:00,49.09,45.57,73.25
159,1,2026-06-16 13:10:00,42.04,46.6,74.78
160,1,2026-06-16 13:15:00,47.5,50.88,72.28
161,1,2026-06-16 13:20:00,48.93,46.41,72.01
162,1,2026-06-16 13:25:00,43.49,47.87,71.33
163,1,2026-06-16 13:30:00,49.27,49.84,72.55
164,1,2026-06-16 13:35:00,45.46,47.95,71.88
165,1,2026-06-16 13:40:00,50.35,41.09,71.85
166,1,2026-06-16 13:45:00,38.65,42.1,73.55
167,1,2026-06-16 13:50:00,50.19,44.42,70.68
168,1,2026-06-16 13:55:00,34.75,44.95,74.61
169,1,2026-06-16 14:00:00,48.35,44.9,72.65
170,1,2026-06-16 14:05:00,40.37,45.69,72.29
171,1,2026-06-16 14:10:00,46.26,48.96,72.53
172,1,2026-06-16 14:15:00,49.28,44.52,73.08
173,1,2026-06-16 14:20:00,53.13,43.67,71.3
174,1,2026-06-16 14:25:00,51.95,46.01,73.59
175,1,2026-06-16 14:30:00,44.84,50.95,72.32
176,1,2026-06-16 14:35:00,47.64,51.28,71.82
177,1,2026-06-16 14:40:00,42.84,45.24,72.64
178,1,2026-06-16 14:45:00,40.35,48.5,71.65
179,1,2026-06-16 14:50:00,51.2,39.4,71.4
180,1,2026-06-16 14:55:00,39.86,44.1,72.43
181,1,2026-06-16 15:00:00,45.89,45.82,72.03
182,1,2026-06-16 15:05:00,47.42,43.56,72.89
183,1,2026-06-16 15:10:00,49.26,47.74,72.74
184,1,2026-06-16 15:15:00,47.8,52.69,72.1
185,1,2026-06-16 15:20:00,45.38,44.32,71.16
186,1,2026-06-16 15:25:00,41.63,43.92,72.12
187,1,2026-06-16 15:30:00,47.95,46.74,71.42
188,1,2026-06-16 15:35:00,50.21,48.8,72.03
189,1,2026-06-16 15:40:00,44.0,48.23,72.38
190,1,2026-06-16 15:45:00,40.82,46.38,72.45
191,1,2026-06-16 15:50:00,43.01,47.15,70.73
192,1,2026-06-16 15:55:00,51.95,50.33,71.94
193,1,2026-06-16 16:00:00,48.06,39.35,71.03
194,1,2026-06-16 16:05:00,45.43,43.37,72.9
195,1,2026-06-16 16:10:00,54.6,43.05,71.35
196,1,2026-06-16 16:15:00,47.55,51.42,70.97
197,1,2026-06-16 16:20:00,47.61,52.05,70.54
198,1,2026-06-16 16:25:00,41.49,45.31,71.67
199,1,2026-06-16 16:30:00,49.86,47.31,70.41
200,1,2026-06-16 16:35:00,48.67,44.85,73.46
201,1,2026-06-16 16:40:00,44.1,44.67,72.73
202,1,2026-06-16 16:45:00,49.66,47.93,70.5
203,1,2026-06-16 16:50:00,48.76,43.48,72.42
204,1,2026-06-16 16:55:00,40.91,47.92,71.38
205,1,2026-06-16 17:00:00,41.48,48.72,72.43
206,1,2026-06-16 17:05:00,44.15,50.94,71.75
207,1,2026-06-16 17:10:00,46.74,47.39,71.57
208,1,2026-06-16 17:15:00,48.49,44.98,71.78
209,1,2026-06-16 17:20:00,52.06,43.46,69.78
210,1,2026-06-16 17:25:00,53.05,54.23,71.78
211,1,2026-06-16 17:30:00,38.86,45.65,71.9
212,1,2026-06-16 17:35:00,45.85,43.24,72.77
213,1,2026-06-16 17:40:00,48.71,42.1,72.89
214,1,2026-06-16 17:45:00,54.82,47.1,71.85
215,1,2026-06-16 17:50:00,46.04,48.43,70.46
216,1,2026-06-16 17:55:00,47.27,45.41,74.04
217,1,2026-06-16 18:00:00,45.91,51.59,71.09
218,1,2026-06-16 18:05:00,48.96,47.54,71.32
219,1,2026-06-16 18:10:00,47.32,50.22,71.87
220,1,2026-06-16 18:15:00,39.84,46.53,71.29
221,1,2026-06-16 18:20:00,45.24,46.34,70.48
222,1,2026-06-16 18:25:00,40.15,48.03,71.67
223,1,2026-06-16 18:30:00,36.35,48.94,72.46
224,1,2026-06-16 18:35:00,43.75,42.63,73.03
225,1,2026-06-16 18:40:00,48.01,53.73,72.61
226,1,2026-06-16 18:45:00,48.16,46.08,73.01
227,1,2026-06-16 18:50:00,49.11,50.34,71.67
228,1,2026-06-16 18:55:00,44.87,45.15,72.98
229,1,2026-06-16 19:00:00,52.6,45.21,71.77
230,1,2026-06-16 19:05:00,47.87,45.85,73.14
231,1,2026-06-16 19:10:00,37.6,44.1,71.41
232,1,2026-06-16 19:15:00,37.33,43.69,71.28
233,1,2026-06-16 19:20:00,45.8,49.92,71.95
234,1,2026-06-16 19:25:00,42.49,46.41,73.24
235,1,2026-06-16 19:30:00,42.71,43.85,72.75
236,1,2026-06-16 19:35:00,45.72,48.53,72.18
237,1,2026-06-16 19:40:00,49.42,43.48,72.18
238,1,2026-06-16 19:45:00,45.77,42.94,70.63
239,1,2026-06-16 19:50:00,49.35,45.53,71.17
240,1,2026-06-16 19:55:00,46.22,49.97,69.91
241,1,2026-06-16 20:00:00,40.62,43.81,73.65
242,1,2026-06-16 20:05:00,47.74,48.89,71.05
243,1,2026-06-16 20:10:00,42.13,47.93,72.25
244,1,2026-06-16 20:15:00,48.8,46.02,72.47
245,1,2026-06-16 20:20:00,47.24,48.92,73.0
246,1,2026-06-16 20:25:00,40.13,39.84,73.19
247,1,2026-06-16 20:30:00,51.36,43.52,70.33
248,1,2026-06-16 20:35:00,47.01,49.38,73.99
249,1,2026-06-16 20:40:00,48.67,45.47,71.3
250,1,2026-06-16 20:45:00,46.66,45.69,71.18
251,1,2026-06-16 20:50:00,54.8,51.94,73.33
252,1,2026-06-16 20:55:00,42.93,49.15,72.83
253,1,2026-06-16 21:00:00,48.38,50.33,72.83
254,1,2026-06-16 21:05:00,49.57,48.49,72.53
255,1,2026-06-16 21:10:00,39.47,46.83,71.64
256,1,2026-06-16 21:15:00,41.49,51.63,73.92
257,1,2026-06-16 21:20:00,52.05,47.35,73.54
258,1,2026-06-16 21:25:00,46.66,47.19,71.1
259,1,2026-06-16 21:30:00,48.2,46.76,70.89
260,1,2026-06-16 21:35:00,46.4,46.34,73.99
261,1,2026-06-16 21:40:00,50.19,46.62,72.44
262,1,2026-06-16 21:45:00,46.79,45.97,71.11
263,1,2026-06-16 21:50:00,46.01,44.34,70.94
264,1,2026-06-16 21:55:00,48.65,47.76,70.41
265,1,2026-06-16 22:00:00,46.12,49.57,73.25
266,1,2026-06-16 22:05:00,50.71,46.7,71.35
267,1,2026-06-16 22:10:00,42.27,47.62,72.57
268,1,2026-06-16 22:15:00,51.76,49.88,72.06
269,1,2026-06-16 22:20:00,41.63,45.63,72.41
270,1,2026-06-16 22:25:00,45.8,44.85,72.45
271,1,2026-06-16 22:30:00,44.59,44.7,72.51
272,1,2026-06-16 22:35:00,45.0,47.32,72.47
273,1,2026-06-16 22:40:00,42.05,45.14,73.63
274,1,2026-06-16 22:45:00,41.96,40.23,70.33
275,1,2026-06-16 22:50:00,46.73,46.68,72.08
276,1,2026-06-16 22:55:00,51.47,38.56,72.59
277,1,2026-06-16 23:00:00,52.86,43.2,71.82
278,1,2026-06-16 23:05:00,43.6,43.9,71.87
279,1,2026-06-16 23:10:00,52.32,52.1,71.86
280,1,2026-06-16 23:15:00,54.23,46.69,73.95
281,1,2026-06-16 23:20:00,46.24,46.98,72.56
282,1,2026-06-16 23:25:00,59.32,49.14,71.49
283,1,2026-06-16 23:30:00,50.49,45.5,71.71
284,1,2026-06-16 23:35:00,50.24,46.68,72.47
285,1,2026-06-16 23:40:00,46.67,47.59,72.62
286,1,2026-06-16 23:45:00,38.86,48.58,71.21
287,1,2026-06-16 23:50:00,40.84,46.41,72.28
288,1,2026-06-16 23:55:00,43.84,49.08,70.85
289,1,2026-06-17 00:00:00,44.98,44.83,72.15
290,1,2026-06-17 00:05:00,47.72,43.56,72.92
291,1,2026-06-17 00:10:00,46.86,40.91,70.24
292,1,2026-06-17 00:15:00,46.56,45.92,72.09
293,1,2026-06-17 00:20:00,46.5,47.26,73.14
